duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,key,mode,time_signature,explicit,popularity
215981,0.759,0.498,-6.866,0.107,0.00319,0.0613,0.622,0.226,143.178,kids,0,0,4,1,13
173866,0.831,0.789,-5.498,0.0661,0.121,0.0,0.328,0.826,101.037,latin,0,1,4,0,2
105296,0.566,0.436,-6.837,0.0274,0.677,0.892,0.133,0.129,136.084,anime,9,0,4,0,48
157240,0.527,0.393,-11.336,0.0277,0.827,0.0,0.348,0.624,72.649,honky-tonk,7,1,4,0,13
165813,0.784,0.301,-12.321,0.184,0.47,0.0,0.119,0.532,86.585,children,2,1,4,0,44
454706,0.695,0.716,-8.582,0.0378,0.0164,0.68,0.0879,0.904,123.999,detroit-techno,5,0,4,0,10
162599,0.492,0.789,-5.219,0.0358,0.145,0.0,0.298,0.963,174.641,swedish,4,1,4,0,38
216320,0.834,0.562,-9.667,0.0373,0.0982,0.0,0.29,0.953,129.086,brazil,5,1,4,0,44
246647,0.353,0.417,-11.383,0.0374,0.0785,0.0,0.127,0.141,189.725,mandopop,9,1,3,0,36
290409,0.645,0.572,-8.167,0.0298,0.716,0.0527,0.0922,0.121,121.994,electronic,0,1,4,0,56
258284,0.585,0.222,-18.529,0.0351,0.659,0.332,0.446,0.0734,90.009,indian,1,1,4,0,0
269000,0.68,0.454,-6.123,0.0302,0.833,1.32e-06,0.102,0.24,109.949,mandopop,1,0,4,0,50
167813,0.207,0.218,-17.548,0.0498,0.114,0.597,0.0706,0.0286,50.798,idm,11,0,4,0,12
405653,0.762,0.512,-8.633,0.239,0.772,0.00183,0.183,0.576,96.428,afrobeat,11,0,4,0,16
495007,0.852,0.311,-12.966,0.126,0.00821,0.732,0.0863,0.748,115.008,idm,11,0,4,0,32
221426,0.406,0.443,-7.358,0.0423,0.913,0.000257,0.192,0.449,100.686,tango,3,1,4,0,16
166666,0.579,0.999,-0.784,0.129,0.018,0.521,0.319,0.427,144.047,dub,11,1,4,0,43
376333,0.531,0.647,-4.281,0.029,0.36,0.0,0.0871,0.484,135.064,groove,0,1,4,0,27
131688,0.472,0.256,-17.152,0.0368,0.897,0.0459,0.148,0.303,111.586,cantopop,0,1,3,0,30
396033,0.0748,0.202,-16.793,0.0368,0.987,0.939,0.124,0.034,66.177,world-music,1,1,4,0,25
268920,0.8,0.561,-7.854,0.051,0.109,0.14,0.0987,0.852,166.64,trip-hop,11,1,4,0,49
218040,0.683,0.824,-4.307,0.0397,0.0607,0.0,0.342,0.724,131.874,spanish,7,1,4,0,0
191823,0.423,0.913,-5.354,0.0655,6.53e-05,0.0,0.269,0.596,146.995,indie,8,1,4,0,0
223080,0.807,0.414,-8.903,0.0352,0.105,2.57e-05,0.0813,0.502,108.944,rock,4,1,4,0,72
400117,0.816,0.715,-7.425,0.0494,0.000561,0.932,0.0445,0.256,125.001,minimal-techno,1,1,4,0,41
264015,0.671,0.72,-7.499,0.0361,0.228,0.721,0.21,0.405,120.009,groove,11,0,4,0,45
189147,0.942,0.566,-4.834,0.226,0.0773,0.0,0.11,0.479,132.858,hip-hop,11,1,4,1,0
320732,0.645,0.656,-6.651,0.0348,0.686,0.0,0.0818,0.499,140.021,pagode,9,1,4,0,43
539199,0.164,0.974,-6.515,0.419,0.0106,0.0577,0.973,0.0492,151.852,heavy-metal,3,0,4,0,21
215080,0.694,0.831,-7.288,0.0301,0.165,0.000892,0.25,0.98,125.901,disco,9,1,4,0,62
210461,0.508,0.934,-9.577,0.0504,9.31e-05,0.959,0.124,0.698,130.012,club,10,0,4,0,48
205800,0.41,0.626,-13.01,0.0316,0.0055,0.000106,0.19,0.594,78.895,brazil,9,0,4,0,44
198093,0.635,0.564,-10.425,0.0593,0.739,0.000179,0.106,0.797,84.09,guitar,7,1,4,0,24
219666,0.518,0.981,-2.997,0.296,0.00115,9.77e-05,0.0939,0.133,102.896,industrial,4,1,4,1,30
214213,0.205,0.95,-8.498,0.131,1.93e-05,0.805,0.212,0.313,184.498,black-metal,10,0,4,0,0
247026,0.257,0.225,-9.137,0.0324,0.81,0.0,0.0802,0.264,106.278,opera,7,1,4,0,20
384813,0.379,0.996,-3.023,0.285,0.00457,9.26e-06,0.0981,0.0386,128.049,black-metal,2,0,4,0,48
120760,0.606,0.329,-14.312,0.0249,0.616,0.0,0.121,0.87,99.408,blues,10,1,3,0,0
199041,0.758,0.794,-4.734,0.0405,0.364,0.0,0.099,0.77,119.021,cantopop,1,0,4,0,42
263513,0.818,0.503,-8.825,0.214,0.524,3.24e-05,0.103,0.563,77.016,sad,10,1,4,1,49
198078,0.861,0.723,-5.54,0.264,0.0116,0.000666,0.152,0.7,120.051,groove,11,0,4,0,39
224527,0.591,0.539,-9.367,0.0266,0.012,0.588,0.29,0.551,106.605,synth-pop,11,0,4,0,53
159811,0.819,0.669,-6.85,0.148,0.0265,3.82e-06,0.0673,0.648,75.027,german,1,1,4,0,37
231880,0.901,0.531,-5.365,0.0853,0.0768,0.0,0.101,0.563,100.016,reggae,10,1,4,0,64
204120,0.574,0.299,-9.107,0.0438,0.957,0.0,0.69,0.44,102.164,romance,3,0,4,0,0
155000,0.543,0.359,-6.571,0.0302,0.651,0.0,0.0981,0.346,109.735,acoustic,8,1,4,0,0
306266,0.385,0.806,-8.967,0.0398,0.237,0.00566,0.933,0.693,106.628,brazil,1,1,4,0,43
271093,0.656,0.462,-14.072,0.0373,0.518,0.000137,0.091,0.642,116.049,psych-rock,11,0,4,0,64
209638,0.712,0.833,-5.909,0.0478,0.106,0.000135,0.417,0.605,106.012,dancehall,11,1,4,0,42
190240,0.734,0.732,-4.765,0.0349,0.0545,0.0,0.232,0.596,121.044,children,4,1,4,0,29
270466,0.813,0.625,-9.382,0.0409,0.000713,0.182,0.0613,0.961,133.018,synth-pop,9,0,4,0,26
293578,0.833,0.582,-6.987,0.0659,0.053,0.0577,0.108,0.209,125.026,minimal-techno,11,0,4,0,52
137937,0.712,0.463,-10.128,0.0281,0.535,0.901,0.159,0.265,99.984,study,0,0,4,0,3
288000,0.382,0.423,-12.258,0.685,0.595,0.0,0.958,0.25,96.37,romance,4,0,5,0,0
179946,0.687,0.756,-3.601,0.0596,0.00335,0.0,0.0663,0.623,130.043,club,9,0,4,0,49
125109,0.516,0.375,-11.118,0.0352,0.842,0.0,0.135,0.805,145.962,comedy,7,1,4,1,22
207466,0.364,0.565,-10.213,0.0308,0.379,3.21e-06,0.943,0.196,86.419,mpb,9,1,4,0,44
